userName;registrationDate;age;password;Balance
hjp8fhtK;2021-06-08;52;DKqu8j@apj;10000
Qg4zEuQs;2021-11-20;62;Zx%3iM8@cY;10000
YV0CzQz6;2022-02-05;23;2ciIh8Lyjm;10000
QNzsQpKT;2023-11-11;61;1bRBPX9EyT;10000
I1A10aJH;2023-08-10;41;f83JSapuJ9;10000
6gj8ViA1;2023-11-29;62;i10kgEq&ZC;10000
MSjXd4om;2022-06-03;62;zWfqCBued@;10000
sQeoVdtF;2021-10-14;21;dh3IYg3w7N;10000
wEFk6ijj;2020-01-12;27;TR^HUi4trM;10000
XZUxn6NZ;2023-08-12;48;g808OtINzG;10000
Uff4lvZb;2022-03-31;27;J3qF1Pj8w!;10000
gPRSdw2W;2023-12-26;54;pTXZU%g9wL;10000
VUk1WlZA;2020-06-22;56;RMITd77rTO;10000
g4JNs8wP;2023-02-28;51;sPUXutB5Nn;10000
HnrqYGpb;2021-11-27;20;70mU6Iw^C&;10000
T9x0x02C;2022-10-11;28;vLhySprfF8;10000
hG5Of2vJ;2021-12-14;61;x^gMJxC#oI;10000
VWG0vqbn;2022-03-15;32;oNvEaEEzcH;10000
gDhmLCEg;2023-12-14;21;R9J0MEdH9A;10000
dW93qsxy;2021-05-11;38;d^49Vc@qjl;10000
ym6P9om7;2021-11-08;27;06iF8z9@ex;10000
q28luvfM;2020-04-14;54;1@XcZ0%bSn;10000
jduKvfvw;2023-07-06;70;Ue252SQUck;10000
8P3KyuOI;2020-12-02;65;FxD8oZEatL;10000
GdWJKYiN;2022-03-15;32;$cKi^8c0*3;10000
GVy6RBIT;2023-07-09;52;UI#BSr!cBS;10000
HNP2Mj1f;2022-04-04;30;d#f$IG0a08;10000
PkcTD4sR;2021-08-21;66;W!eu&NcSt!;10000
n7C47G4p;2022-11-07;55;fXf*^z9h1N;10000
4P8Nf6k7;2023-10-12;25;4TqJ@MqJeB;10000
jHhO92Gj;2022-12-24;45;%DPNPIncXJ;10000
dckY5Td5;2020-02-15;53;YaFpT%4HsU;10000
XP0ZcFTl;2020-01-19;58;V&BCfDLzji;10000
QD3ZODnf;2023-05-18;48;TCZv0Qizdi;10000
uies11sR;2021-08-09;58;34yiCswq4T;10000
DdHPJwUt;2021-12-24;41;3CrNSgheEz;10000
